tourney_id,tourney_name,surface,tourney_level,draw_size,tourney_date
1971-2047,Jacksonville,Clay,A,32,19710414
1971-2048,Vancouver WCT,,A,32,19711010
1971-2049,Eastbourne,Grass,A,32,19710614
1971-2050,Newport,Grass,A,32,19710710
1971-2051,Tanglewood,Hard,A,64,19710724
1971-2058,New York,,A,32,19710214
1971-2061,Des Moines,Carpet,A,16,19710407
1971-2065,Catania,Clay,A,64,19710425
1971-2066,Macon,Hard,A,64,19710301
1971-260,Durban,Hard,A,64,19710329
1971-262,London,Hard,A,32,19710322
1971-301,Auckland,Hard,A,32,19710307
1971-303,Buenos Aires,Clay,A,32,19711201
1971-308,Munich,Clay,A,32,19710705
1971-311,Queen's Club,Grass,A,64,19710614
1971-312,Bologna WCT,Carpet,A,64,19711114
1971-313,Bristol,Grass,A,32,19710607
1971-314,Gstaad,Clay,A,32,19710710
1971-317,Hilversum,Hard,A,64,19710803
1971-319,Kitzbuhel,Clay,A,32,19710719
1971-325,Palermo,Clay,A,64,19710418
1971-332,Cologne WCT,Carpet,A,32,19711017
1971-343,Columbus,Hard,A,32,19710801
